po_id,po_line_id,po_created_date,vendor_id,erp_sku_code,center_id,ordered_qty,confirmed_qty,promised_delivery_date,po_status,cancelled_qty,last_updated_at
PO000074,001,2025-01-06,V002,ERP-I00003,MFC_GANGNAM,132,127,2025-01-16,Partial,5,2025-01-23 02:00:00
PO000156,001,2025-01-06,V001,ERP-I00005,FC_DONGTAN,300,284,2025-01-13,Closed,16,2025-01-15 02:00:00
PO000167,001,2025-01-06,V001,ERP-I00005,FC_INCHEON,210,210,2025-01-13,Closed,0,2025-01-13 02:00:00
PO000237,001,2025-01-06,V001,ERP-I00007,FC_INCHEON,192,191,2025-01-13,Partial,1,2025-01-12 02:00:00
PO000335,001,2025-01-06,V002,ERP-I00010,FC_DONGTAN,330,285,2025-01-16,Partial,45,2025-01-18 02:00:00
PO000348,001,2025-01-06,V002,ERP-I00010,FC_INCHEON,240,231,2025-01-16,Closed,9,2025-01-17 02:00:00
PO000361,001,2025-01-06,V003,ERP-I00011,MFC_GANGNAM,42,41,2025-01-14,Closed,1,2025-01-16 02:00:00
PO000386,001,2025-01-06,V003,ERP-I00011,FC_INCHEON,48,45,2025-01-14,Partial,3,2025-01-14 02:00:00
PO000419,001,2025-01-06,V007,ERP-I00012,FC_INCHEON,216,125,2025-02-17,Closed,91,2025-03-21 02:00:00
PO000445,001,2025-01-06,V003,ERP-I00013,FC_DONGTAN,156,156,2025-01-14,Closed,0,2025-01-14 02:00:00
PO000550,001,2025-01-06,V007,ERP-I00016,FC_DONGTAN,96,55,2025-02-17,Partial,41,2025-03-05 02:00:00
PO000608,001,2025-01-06,V003,ERP-I00018,MFC_GANGNAM,96,96,2025-01-14,Partial,0,2025-01-16 02:00:00
PO000634,001,2025-01-06,V003,ERP-I00018,FC_INCHEON,108,103,2025-01-14,Closed,5,2025-01-16 02:00:00
PO000646,001,2025-01-06,V003,ERP-I00019,MFC_GANGNAM,108,101,2025-01-14,Partial,7,2025-01-14 02:00:00
PO000658,001,2025-01-06,V003,ERP-I00019,FC_DONGTAN,180,170,2025-01-14,Partial,10,2025-01-16 02:00:00
