order_id,order_line_id,order_datetime,channel_id,fulfillment_center_id,oms_sku_code,ordered_qty,fulfilled_qty,cancelled_qty,unit_selling_price,order_status
ORD00000001,001,2025-01-09 14:00:00,ROCKET_DELIVERY,MFC_GANGNAM,OMS-P00001,4,4,0,42900.0,COMPLETED
ORD00000002,001,2025-01-09 14:00:00,GLOBAL_MALL,MFC_GANGNAM,OMS-P00001,2,2,0,42900.0,COMPLETED
ORD00000003,001,2025-01-09 14:00:00,ONLINE_MALL,MFC_GANGNAM,OMS-P00001,5,5,0,42900.0,COMPLETED
ORD00000146,001,2025-01-09 14:00:00,ONLINE_MALL,FC_DONGTAN,OMS-P00001,11,11,0,42900.0,COMPLETED
ORD00000147,001,2025-01-09 14:00:00,GLOBAL_MALL,FC_DONGTAN,OMS-P00001,4,4,0,42900.0,COMPLETED
ORD00000148,001,2025-01-09 14:00:00,ROCKET_DELIVERY,FC_DONGTAN,OMS-P00001,14,14,0,42900.0,COMPLETED
ORD00000297,001,2025-01-09 14:00:00,ROCKET_DELIVERY,FC_INCHEON,OMS-P00001,5,0,5,42900.0,CANCELLED
ORD00000298,001,2025-01-09 14:00:00,GLOBAL_MALL,FC_INCHEON,OMS-P00001,1,1,0,42900.0,COMPLETED
ORD00000299,001,2025-01-09 14:00:00,ONLINE_MALL,FC_INCHEON,OMS-P00001,11,11,0,42900.0,COMPLETED
ORD00000451,001,2025-01-09 14:00:00,GLOBAL_MALL,MFC_GANGNAM,OMS-P00002,3,3,0,47900.0,COMPLETED
ORD00000452,001,2025-01-09 14:00:00,ROCKET_DELIVERY,MFC_GANGNAM,OMS-P00002,8,8,0,47900.0,COMPLETED
ORD00000453,001,2025-01-09 14:00:00,ONLINE_MALL,MFC_GANGNAM,OMS-P00002,10,10,0,47900.0,COMPLETED
ORD00000599,001,2025-01-09 14:00:00,ONLINE_MALL,FC_DONGTAN,OMS-P00002,14,13,1,47900.0,PARTIAL
ORD00000600,001,2025-01-09 14:00:00,ROCKET_DELIVERY,FC_DONGTAN,OMS-P00002,14,13,1,47900.0,PARTIAL
ORD00000601,001,2025-01-09 14:00:00,GLOBAL_MALL,FC_DONGTAN,OMS-P00002,6,6,0,47900.0,COMPLETED
ORD00000755,001,2025-01-09 14:00:00,ONLINE_MALL,FC_INCHEON,OMS-P00002,10,10,0,47900.0,COMPLETED
