receipt_id,receipt_line_id,po_id,po_line_id,receipt_datetime,center_id,wms_sku_code,received_qty,accepted_qty,rejected_qty,receipt_status
GR001065,001,PO000900,001,2025-01-11 10:00:00,MFC_GANGNAM,WMS-L00026,80,76,4,PARTIAL
GR001299,001,PO001098,001,2025-01-11 10:00:00,FC_DONGTAN,WMS-L00031,228,228,0,RECEIVED
GR000286,001,PO000237,001,2025-01-12 10:00:00,FC_INCHEON,WMS-L00007,177,177,0,PARTIAL
GR000869,001,PO000744,001,2025-01-12 10:00:00,FC_INCHEON,WMS-L00021,171,171,0,RECEIVED
GR001078,001,PO000913,001,2025-01-12 10:00:00,FC_DONGTAN,WMS-L00026,139,139,0,PARTIAL
GR001615,001,PO001377,001,2025-01-12 10:00:00,FC_DONGTAN,WMS-L00039,126,126,0,RECEIVED
GR000202,001,PO000167,001,2025-01-13 10:00:00,FC_INCHEON,WMS-L00005,210,210,0,RECEIVED
GR000261,001,PO000213,001,2025-01-13 10:00:00,MFC_GANGNAM,WMS-L00007,141,141,0,RECEIVED
GR000300,001,PO000249,001,2025-01-13 10:00:00,MFC_GANGNAM,WMS-L00008,182,182,0,RECEIVED
GR000342,001,PO000286,001,2025-01-13 10:00:00,MFC_GANGNAM,WMS-L00009,227,227,0,RECEIVED
GR000844,001,PO000720,001,2025-01-13 10:00:00,MFC_GANGNAM,WMS-L00021,105,105,0,PARTIAL
GR001094,001,PO000926,001,2025-01-13 10:00:00,FC_INCHEON,WMS-L00026,107,103,4,PARTIAL
GR001213,001,PO001022,001,2025-01-13 10:00:00,FC_DONGTAN,WMS-L00029,109,109,0,RECEIVED
GR001313,001,PO001109,001,2025-01-13 10:00:00,FC_INCHEON,WMS-L00031,180,180,0,RECEIVED
GR000177,001,PO000144,001,2025-01-14 10:00:00,MFC_GANGNAM,WMS-L00005,100,100,0,PARTIAL
GR000372,001,PO000312,001,2025-01-14 10:00:00,FC_INCHEON,WMS-L00009,279,258,21,PARTIAL
