snapshot_datetime,center_id,wms_sku_code,on_hand_qty,reserved_qty,damaged_qty,quality_hold_qty,available_qty,stockout_flag
2025-01-06 08:00:00,FC_DONGTAN,WMS-L00001,166,11,0,3,152,0
2025-01-06 08:00:00,FC_DONGTAN,WMS-L00002,85,5,0,2,78,0
2025-01-06 08:00:00,FC_DONGTAN,WMS-L00003,198,12,2,3,181,0
2025-01-06 08:00:00,FC_DONGTAN,WMS-L00004,302,18,0,3,281,0
2025-01-06 08:00:00,FC_DONGTAN,WMS-L00005,198,5,1,4,188,0
2025-01-06 08:00:00,FC_DONGTAN,WMS-L00006,237,12,1,3,221,0
2025-01-06 08:00:00,FC_DONGTAN,WMS-L00007,144,9,0,1,134,0
2025-01-06 08:00:00,FC_DONGTAN,WMS-L00008,257,18,0,0,239,0
2025-01-06 08:00:00,FC_DONGTAN,WMS-L00009,224,4,1,0,219,0
2025-01-06 08:00:00,FC_DONGTAN,WMS-L00010,204,5,2,1,196,0
2025-01-06 08:00:00,FC_DONGTAN,WMS-L00011,62,2,0,1,59,0
2025-01-06 08:00:00,FC_DONGTAN,WMS-L00012,479,37,3,5,434,0
2025-01-06 08:00:00,FC_DONGTAN,WMS-L00013,96,2,0,1,93,0
2025-01-06 08:00:00,FC_DONGTAN,WMS-L00014,115,6,1,1,107,0
2025-01-06 08:00:00,FC_DONGTAN,WMS-L00015,582,45,4,6,527,0
2025-01-06 08:00:00,FC_DONGTAN,WMS-L00016,138,10,1,0,127,0
2025-01-06 08:00:00,FC_DONGTAN,WMS-L00017,356,12,2,6,336,0
2025-01-06 08:00:00,FC_DONGTAN,WMS-L00018,99,6,0,0,93,0
2025-01-06 08:00:00,FC_DONGTAN,WMS-L00019,113,6,1,0,106,0
2025-01-06 08:00:00,FC_DONGTAN,WMS-L00020,84,5,0,0,79,0
2025-01-06 08:00:00,FC_DONGTAN,WMS-L00021,163,9,0,0,154,0
2025-01-06 08:00:00,FC_DONGTAN,WMS-L00022,139,10,1,1,127,0
2025-01-06 08:00:00,FC_DONGTAN,WMS-L00023,162,6,1,3,152,0
2025-01-06 08:00:00,FC_DONGTAN,WMS-L00024,158,6,1,0,151,0
2025-01-06 08:00:00,FC_DONGTAN,WMS-L00025,96,4,0,1,91,0
2025-01-06 08:00:00,FC_DONGTAN,WMS-L00026,103,3,0,2,98,0
2025-01-06 08:00:00,FC_DONGTAN,WMS-L00027,247,9,1,0,237,0
2025-01-06 08:00:00,FC_DONGTAN,WMS-L00028,232,14,1,1,216,0
2025-01-06 08:00:00,FC_DONGTAN,WMS-L00029,78,2,0,0,76,0
2025-01-06 08:00:00,FC_DONGTAN,WMS-L00030,73,3,0,0,70,0
2025-01-06 08:00:00,FC_DONGTAN,WMS-L00031,143,5,0,1,137,0
2025-01-06 08:00:00,FC_DONGTAN,WMS-L00032,307,19,2,4,282,0
2025-01-06 08:00:00,FC_DONGTAN,WMS-L00033,73,4,0,0,69,0
2025-01-06 08:00:00,FC_DONGTAN,WMS-L00034,282,13,2,3,264,0
2025-01-06 08:00:00,FC_DONGTAN,WMS-L00035,48,1,0,0,47,0
2025-01-06 08:00:00,FC_DONGTAN,WMS-L00036,83,1,1,1,80,0
2025-01-06 08:00:00,FC_DONGTAN,WMS-L00037,108,2,0,1,105,0
2025-01-06 08:00:00,FC_DONGTAN,WMS-L00038,86,5,1,0,80,0
2025-01-06 08:00:00,FC_DONGTAN,WMS-L00039,91,2,1,0,88,0
2025-01-06 08:00:00,FC_DONGTAN,WMS-L00040,42,3,0,0,39,0
2025-01-06 08:00:00,FC_INCHEON,WMS-L00001,100,5,0,0,95,0
2025-01-06 08:00:00,FC_INCHEON,WMS-L00002,78,5,0,0,73,0
2025-01-06 08:00:00,FC_INCHEON,WMS-L00003,127,6,0,2,119,0
2025-01-06 08:00:00,FC_INCHEON,WMS-L00004,206,11,0,2,193,0
2025-01-06 08:00:00,FC_INCHEON,WMS-L00005,152,9,1,1,141,0
